name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Mycoplasma sp. (ex Biomphalaria glabrata)	1749074	S	19	0	19	0.00053
Chthonomonas calidirosea	454171	S	20	0	20	0.00055
Chitinophaga sp. MD30	2033437	S	52	87	139	0.00385
Chitinophaga caeni	2029983	S	46	160	206	0.00571
Pseudobacter ginsenosidimutans	661488	S	125	114	239	0.00662
Paraflavitalea soli	2315862	S	92	98	190	0.00527
Niabella soli	446683	S	43	39	82	0.00227
Niabella ginsenosidivorans	1176587	S	40	26	66	0.00183
Flavisolibacter ginsenosidimutans	661481	S	58	28	86	0.00238
Flavisolibacter tropicus	1492898	S	22	24	46	0.00127
Arachidicoccus sp. B3-10	2545455	S	42	53	95	0.00263
Flavihumibacter sp. SB-02	2676868	S	28	31	59	0.00164
Panacibacter ginsenosidivorans	1813871	S	24	14	38	0.00105
Niastella koreensis	354356	S	16	19	35	0.00097
Pseudocnuella soli	2502779	S	15	16	31	0.00086
Pontibacter pudoricolor	2694930	S	131	214	345	0.00956
Hymenobacter busanensis	2607656	S	16	28	44	0.00122
Hymenobacter sp. PAMC 26554	1484116	S	10	12	22	0.00061
Chryseolinea soli	2321403	S	106	46	152	0.00421
Dyadobacter fermentans	94254	S	12	21	33	0.00091
Cytophaga hutchinsonii	985	S	12	10	22	0.00061
Candidatus Cardinium hertigii	247481	S	20	2	22	0.00061
Flavobacterium sp. I3-2	2748319	S	55	227	282	0.00781
Flavobacterium pallidum	2172098	S	44	135	179	0.00496
Sphingobacterium spiritivorum	258	S	23	156	179	0.00496
Alkalitalea saponilacus	889453	S	11	1	12	0.00033
Melioribacter roseus	1134405	S	37	17	54	0.00150
Gemmatimonas phototrophica	1379270	S	48	172	220	0.00610
Gemmatimonas aurantiaca	173480	S	25	109	134	0.00371
Gemmatirosa kalamazoonesis	861299	S	59	105	164	0.00454
Luteitalea pratensis	1855912	S	1944	88	2032	0.05631
Terriglobus roseus	392734	S	152	25	177	0.00491
Granulicella mallensis	940614	S	95	6	101	0.00280
Candidatus Koribacter versatilis	658062	S	63	1	64	0.00177
Candidatus Solibacter usitatus	332163	S	158	2	160	0.00443
Paludibaculum fermentans	1473598	S	93	1	94	0.00260
Chloracidobacterium thermophilum	458033	S	82	1	83	0.00230
Verrucomicrobium sp. GAS474	1882831	S	127	54	181	0.00502
Roseimicrobium sp. ORNL1	2711231	S	62	20	82	0.00227
Luteolibacter luteus	2728835	S	13	2	15	0.00042
Nibricoccus aquaticus	2576891	S	51	58	109	0.00302
Opitutus terrae	107709	S	37	35	72	0.00200
Coraliomargarita akajimensis	395922	S	26	0	26	0.00072
Candidatus Xiphinematobacter sp. Idaho Grape	1704307	S	13	31	44	0.00122
Planctomyces sp. SH-PL14	1632864	S	90	64	154	0.00427
Singulisphaera acidiphila	466153	S	12	34	46	0.00127
Humisphaera borealis	2807512	S	109	1	110	0.00305
Kiritimatiella glycovorans	1307763	S	98	82	180	0.00499
Neochlamydia sp. S13	1353976	S	14	3	17	0.00047
Candidatus Protochlamydia amoebophila	362787	S	11	9	20	0.00055
Nitrospira japonica	1325564	S	200	194	394	0.01092
Leptospirillum ferrooxidans	180	S	11	13	24	0.00067
Cloacibacillus porcorum	1197717	S	143	32	175	0.00485
Aminobacterium colombiense	81468	S	44	23	67	0.00186
Dictyoglomus turgidum	513050	S	240	3	243	0.00673
Caldithrix abyssi	187145	S	151	1	152	0.00421
Candidatus Saccharimonas aalborgensis	1332188	S	75	1	76	0.00211
Candidatus Nanosynbacter lyticus	2093824	S	22	4	26	0.00072
Elusimicrobium minutum	423605	S	80	0	80	0.00222
Thermosulfuriphilus ammonigenes	1936021	S	16	2	18	0.00050
Flexistipes sinusarabici	2352	S	12	1	13	0.00036
Coprothermobacter proteolyticus	35786	S	13	1	14	0.00039
Candidatus Nitrososphaera gargensis	497727	S	251	152	403	0.01117
