name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Microvirga sp. VF16	2807101	S	100	167	267	0.00740
Microvirga thermotolerans	2651334	S	17	69	86	0.00238
Rhodoplanes sp. Z2-YC6860	674703	S	104	21	125	0.00346
Hyphomicrobium sp. MC1	717785	S	38	26	64	0.00177
Candidatus Filomicrobium marinum	1608628	S	25	5	30	0.00083
Rhodopseudomonas palustris	1076	S	25	83	108	0.00299
Nordella sp. HKS 07	2712222	S	67	2	69	0.00191
Pseudorhodoplanes sinuspersici	1235591	S	30	1	31	0.00086
Sinorhizobium sp. RAC02	1842534	S	15	23	38	0.00105
Mesorhizobium sp. Pch-S	2082387	S	34	25	59	0.00164
Brucella melitensis	29459	S	57	2820	2877	0.07973
Pseudolabrys sp. FHR47	2562284	S	23	3	26	0.00072
Labrys sp. KNU-23	2789216	S	10	1	11	0.00030
Sphingomonas sp. sand1-3	2764186	S	84	119	203	0.00563
Sphingomonas sp. HDW15C	2714944	S	33	47	80	0.00222
Sphingomonas rhizophila	2071607	S	130	222	352	0.00975
Sphingomonas lutea	1045317	S	43	41	84	0.00233
Sphingomonas daechungensis	1176646	S	42	29	71	0.00197
Sphingomonas sediminicola	386874	S	34	20	54	0.00150
Sphingomonas koreensis	93064	S	29	244	273	0.00757
Novosphingobium sp. Gsoil 351	2675225	S	17	55	72	0.00200
Rhodospirillum rubrum	1085	S	51	0	51	0.00141
Defluviicoccus vanus	111831	S	58	193	251	0.00696
Ferrovibrio terrae	2594003	S	31	66	97	0.00269
Roseomonas sp. 1318	2768161	S	31	137	168	0.00466
Stella humosa	94	S	23	7	30	0.00083
Bombella sp. KACC 21507	2697033	S	12	8	20	0.00055
Terasakiella sp. SH-1	2560057	S	14	0	14	0.00039
Candidatus Sneabacter namystus	2601646	S	15	4	19	0.00053
Terricaulis silvestris	2686094	S	13	0	13	0.00036
Candidatus Moranella endobia	1048758	S	69	0	69	0.00191
Salmonella enterica	28901	S	54	3447	3501	0.09702
Escherichia coli	562	S	27	149	176	0.00488
Klebsiella pneumoniae	573	S	13	149	162	0.00449
Enterobacteriaceae endosymbiont of Plateumaris sericea	2675797	S	13	3	16	0.00044
Yersinia enterocolitica	630	S	17	1	18	0.00050
Buchnera aphidicola	9	S	15	1	16	0.00044
Pseudoxanthomonas mexicana	128785	S	28	89	117	0.00324
Luteimonas sp. JM171	1896164	S	14	24	38	0.00105
Arenimonas daejeonensis	370777	S	11	17	28	0.00078
Ahniella affigens	2021234	S	13	8	21	0.00058
Caldichromatium japonicum	2699430	S	11	163	174	0.00482
Granulosicoccus antarcticus	437505	S	11	0	11	0.00030
Steroidobacter denitrificans	465721	S	234	75	309	0.00856
Pseudomonas sp. BJP69	2597770	S	24	80	104	0.00288
Pseudomonas putida	303	S	24	99	123	0.00341
Acinetobacter baumannii	470	S	18	63	81	0.00224
Aquicella siphonis	254247	S	20	10	30	0.00083
Pseudoalteromonas sp. A41-2	2785910	S	10	20	30	0.00083
Vibrio ponticus	265668	S	16	2	18	0.00050
Ketobacter alkanivorans	1917421	S	14	0	14	0.00039
Methylomonas rhizoryzae	2608981	S	18	1	19	0.00053
Methylocaldum marinum	1432792	S	10	1	11	0.00030
Labilithrix luteola	1391654	S	80	84	164	0.00454
Sorangium cellulosum	56	S	52	140	192	0.00532
Minicystis rosea	888845	S	30	66	96	0.00266
Sandaracinus amylolyticus	927083	S	10	14	24	0.00067
Anaeromyxobacter sp. Fw109-5	404589	S	17	153	170	0.00471
Haliangium ochraceum	80816	S	103	122	225	0.00624
Desulfovibrio vulgaris	881	S	26	16	42	0.00116
Basilea psittacipulmonis	1472345	S	96	144	240	0.00665
Ralstonia solanacearum	305	S	23	267	290	0.00804
Usitatibacter rugosus	2732067	S	12	76	88	0.00244
Nitrosospira multiformis	1231	S	12	37	49	0.00136
Sulfuritortus calidifontis	1914471	S	16	265	281	0.00779
Neisseria brasiliensis	2666100	S	14	29	43	0.00119
Tropheryma whipplei	2039	S	162	0	162	0.00449
Cellulomonas sp. H30R-01	2704467	S	31	263	294	0.00815
Corynebacterium urealyticum	43771	S	37	383	420	0.01164
Corynebacterium pseudotuberculosis	1719	S	26	41	67	0.00186
Rhodococcus triatomae	300028	S	10	70	80	0.00222
Nocardioides euryhalodurans	2518370	S	29	227	256	0.00709
Tessaracoccus sp. MC1865	2760310	S	12	58	70	0.00194
Streptomyces sp. SCSIO 3032	1264596	S	12	69	81	0.00224
Streptomyces nodosus	40318	S	12	90	102	0.00283
Streptomyces spongiicola	1690221	S	10	102	112	0.00310
Thermobispora bispora	2006	S	25	125	150	0.00416
Thermomonospora curvata	2020	S	16	91	107	0.00297
Blastococcus saxobsidens	138336	S	48	295	343	0.00951
Geodermatophilus obscurus	1861	S	17	119	136	0.00377
Bifidobacterium longum	216816	S	43	474	517	0.01433
Jatrophihabitans sp. GAS493	1907575	S	15	34	49	0.00136
Candidatus Planktophila lacus	1884913	S	10	2	12	0.00033
Stackebrandtia nassauensis	283811	S	12	28	40	0.00111
Rubrobacter sp. SCSIO 52909	2653851	S	267	109	376	0.01042
Rubrobacter sp. SCSIO 52915	2653852	S	12	7	19	0.00053
Rubrobacter xylanophilus	49319	S	229	67	296	0.00820
Ilumatobacter coccineus	467094	S	159	49	208	0.00576
Actinomarinicola tropica	2789776	S	144	152	296	0.00820
Arabia massiliensis	1870985	S	72	19	91	0.00252
Denitrobacterium detoxificans	79604	S	37	70	107	0.00297
Euzebya sp. DY32-46	1608957	S	76	36	112	0.00310
Egibacter rhizosphaerae	1670831	S	13	5	18	0.00050
Conexibacter sp. SYSU D00693	2812560	S	45	65	110	0.00305
Bacillus velezensis	492670	S	47	194	241	0.00668
Bacillus amyloliquefaciens	1390	S	11	73	84	0.00233
Bacillus subtilis	1423	S	26	1060	1086	0.03010
Bacillus thuringiensis	1428	S	38	147	185	0.00513
Bacillus cereus	1396	S	29	4769	4798	0.13296
Bacillus altitudinis	293387	S	21	18	39	0.00108
Priestia megaterium	1404	S	12	489	501	0.01388
Radiobacillus deserti	2594883	S	11	1	12	0.00033
Halobacillus halophilus	1570	S	10	4	14	0.00039
Paenibacillus sp. BIHB4019	1870819	S	68	21	89	0.00247
Paenibacillus polymyxa	1406	S	23	160	183	0.00507
Staphylococcus epidermidis	1282	S	30	25	55	0.00152
Staphylococcus condimenti	70255	S	13	3	16	0.00044
Staphylococcus aureus	1280	S	13	168	181	0.00502
Laceyella sacchari	37482	S	10	2	12	0.00033
Streptococcus thermophilus	1308	S	52	817	869	0.02408
Enterococcus faecalis	1351	S	157	85	242	0.00671
Limosilactobacillus fermentum	1613	S	28	26	54	0.00150
Leuconostoc mesenteroides	1245	S	11	4	15	0.00042
Clostridium tetani	1513	S	18	123	141	0.00391
Symbiobacterium thermophilum	2734	S	57	23	80	0.00222
Halobacteroides halobius	42422	S	38	3	41	0.00114
Ammonifex degensii	42838	S	27	2	29	0.00080
Megasphaera elsdenii	907	S	230	14	244	0.00676
Tepidiforma bonchosmolovskayae	2601677	S	245	24	269	0.00745
Anaerolinea sp. 'rifampicinis'	2710758	S	99	0	99	0.00274
Pelolinea submarina	913107	S	21	2	23	0.00064
Caldilinea aerophila	133453	S	120	36	156	0.00432
Sphaerobacter thermophilus	2057	S	94	13	107	0.00297
Dehalogenimonas lykanthroporepellens	552810	S	19	21	40	0.00111
Thermobaculum terrenum	166501	S	31	6	37	0.00103
Thermus sp. CCB_US3_UF1	1111069	S	21	2	23	0.00064
Synechococcus sp. JA-3-3Ab	321327	S	16	24	40	0.00111
Oxynema sp. AP17	2064643	S	13	21	34	0.00094
Cyanothece sp. PCC 7425	395961	S	12	14	26	0.00072
